time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance.
Y,N,N,N,N,N,N,N,N,N,N,210.44
Y,N,N,N,N,N,N,N,N,Y,N,210.34
Y,N,N,N,N,N,N,N,N,N,Y,258.83
Y,Y,N,N,N,N,N,N,N,N,N,234.68
Y,N,Y,N,N,N,N,N,N,N,N,219.64
Y,N,N,Y,N,N,N,N,N,N,N,208.92
Y,N,N,N,Y,N,N,N,N,N,N,208.47
Y,N,N,N,N,Y,N,N,N,N,N,206.90
Y,N,N,N,N,N,Y,N,N,N,N,204.99
Y,N,N,N,N,N,N,Y,N,N,N,204.53
Y,N,N,N,N,N,Y,N,Y,N,N,201.15
Y,Y,Y,Y,N,N,N,N,N,N,Y,253.67
Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,265.82
Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,241.23
Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,255.43
Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,268.42
Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,267.32
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,267.51
Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,269.47
Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,262.11
Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,252.45
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,245.34
Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,267.17
Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,251.81
Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,263.72
Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,262.60
Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,262.94
Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,263.59
Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,250.43
Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,269.47
Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,252.87
Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,264.93
Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,264.17
Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,267.59
Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,252.68
Y,N,Y,Y,Y,Y,Y,N,N,N,Y,268.55
Y,Y,Y,N,Y,Y,Y,N,N,N,Y,254.50
Y,Y,Y,Y,N,Y,Y,N,N,N,Y,267.28
Y,Y,Y,Y,Y,N,Y,N,N,N,Y,266.48
Y,Y,Y,Y,Y,Y,N,N,N,N,Y,251.80
Y,N,Y,Y,Y,Y,N,N,N,N,Y,269.38
Y,Y,Y,N,Y,Y,N,N,N,N,Y,254.73
Y,Y,Y,Y,N,Y,N,N,N,N,Y,266.97
Y,Y,Y,Y,Y,N,N,N,N,N,Y,252.50
Y,N,Y,Y,Y,N,N,N,N,N,Y,269.52
Y,Y,Y,N,Y,N,N,N,N,N,Y,254.34
Y,Y,Y,Y,N,N,N,N,N,N,Y,253.15
Y,N,Y,Y,N,N,N,N,N,N,Y,256.25
Y,Y,Y,N,N,N,N,N,N,N,Y,238.23
Y,N,Y,N,N,N,N,N,N,N,Y,257.33
Y,Y,Y,N,N,N,N,N,N,N,N,232.70
Y,N,Y,Y,N,N,N,N,N,N,N,224.95
Y,Y,N,N,N,N,N,N,N,N,Y,267.43
Y,N,N,Y,N,N,N,N,N,N,Y,220.87
Y,Y,N,Y,N,N,N,N,N,N,N,248.17
Y,Y,Y,Y,N,N,N,N,N,N,N,244.30
Y,Y,N,Y,N,N,N,N,N,N,Y,240.35
Y,Y,Y,Y,N,N,N,N,N,N,Y,253.15
