HAVE_CRYPTO,HAVE_HASH,HAVE_REPLICATION,HAVE_VERIFY,HAVE_SEQUENCE,HAVE_STATISTICS,DIAGNOSTIC,PAGESIZE,PS1K,PS4K,PS8K,PS16K,PS32K,CACHESIZE,CS32MB,CS16MB,CS64MB,CS512MB,Performance
N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,0.4787
N,N,N,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,0.4719
Y,N,N,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,Y,6.5221
Y,N,N,N,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,37.7686
N,Y,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,1.3028
N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,0.9265
N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,Y,N,N,0.5174
Y,N,Y,Y,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,3.2277
N,N,Y,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,N,N,N,0.6270
Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,N,N,3.2462
Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,2.0874
N,N,N,N,Y,Y,N,Y,N,N,Y,N,N,Y,N,N,Y,N,0.5012
N,Y,N,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,0.5386
Y,Y,N,N,N,Y,N,Y,N,N,Y,N,N,Y,N,Y,N,N,10.8925
Y,N,N,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,37.6542
N,N,N,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,Y,N,N,0.6403
N,N,N,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,0.6396
Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,Y,N,5.8320
Y,Y,N,N,N,Y,N,Y,N,N,Y,N,N,Y,N,N,Y,N,10.8937
N,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,Y,N,N,N,Y,0.5385
Y,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,3.2768
N,Y,Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,0.7900
N,N,Y,N,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,N,Y,0.9301
N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,0.7519
Y,N,N,Y,N,Y,N,Y,Y,N,N,N,N,Y,N,N,Y,N,3.2324
N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,Y,N,Y,N,N,0.4976
N,Y,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,0.7767
Y,Y,N,N,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,5.8519
Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,Y,N,2.0370
Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,21.1766
Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,3.2085
Y,N,N,N,Y,N,N,Y,N,Y,N,N,N,Y,Y,N,N,N,6.5161
N,Y,Y,N,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,1.3158
Y,N,Y,N,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,37.8092
N,N,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,N,0.9292
N,N,N,N,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,N,0.5005
