no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance.
Y,Y,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,254.63
Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,271.97
Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,442.34
Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,Y,610.44
Y,N,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,260.388
Y,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,N,268.64
Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,275.95
Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,305.236
Y,N,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,N,N,268.72
Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,268.704
Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,268.816
Y,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,270.586
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,643.97
Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,643.97
Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,643.97
Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,643.97
Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,643.97
Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,N,Y,643.97
Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,643.97
Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,643.97
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,643.97
Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,643.97
Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,643.97
Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,643.97
Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,643.97
Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,643.97
Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,643.97
Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,643.97
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,643.97
Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,643.97
Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,643.97
Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,643.97
Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,643.97
Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,643.97
Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,643.97
Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,643.97
Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,643.97
Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,643.97
Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,643.97
Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,643.97
Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,643.97
Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,N,Y,643.97
Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,643.97
Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,643.97
Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,643.97
Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,643.97
Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,643.97
Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,643.97
Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,643.97
Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,643.97
Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,643.97
Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,643.97
Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,643.97
Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,643.97
Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,643.97
Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,643.97
Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,643.97
Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,643.97
Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,643.97
Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,643.97
Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,643.97
Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,643.97
Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,643.97
Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,643.97
Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,643.97
Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,643.97
Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,Y,643.97
Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,643.97
Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,643.97
Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,643.97
Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,643.97
Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,643.97
Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,643.97
Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,643.97
Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,643.97
Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,643.97
Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,643.97
Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,643.97
Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,643.97
Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,643.97
Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,643.97
Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,643.97
Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,643.97
Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,643.97
Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,643.97
Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,Y,643.97
Y,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,Y,N,643.97
Y,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,Y,643.97
Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,Y,N,643.97
Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,643.97
Y,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,643.97
Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,643.97
